iter	Passed	Remaining
0	1	154
1	2	146
2	4	136
3	5	129
4	8	154
5	9	152
6	11	149
7	12	144
8	13	140
9	15	139
10	16	136
11	18	133
12	19	130
13	20	128
14	22	125
15	23	123
16	24	122
17	26	120
18	27	118
19	29	117
20	30	115
21	31	113
22	33	110
23	34	108
24	35	106
25	36	105
26	38	103
27	39	101
28	40	100
29	42	98
30	43	97
31	45	96
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	77
44	62	75
45	63	74
46	64	73
47	67	73
48	69	72
49	70	70
50	71	69
51	73	67
52	74	66
53	75	64
54	76	62
55	78	61
56	79	59
57	80	58
58	81	56
59	83	55
60	84	54
61	85	52
62	87	51
63	88	49
64	89	48
65	91	46
66	92	45
67	93	44
68	97	43
69	99	42
70	101	41
71	102	39
72	104	38
73	105	37
74	107	35
75	108	34
76	110	32
77	111	31
78	113	30
79	115	28
80	117	27
81	118	26
82	120	24
83	121	23
84	123	21
85	125	20
86	126	18
87	127	17
88	129	16
89	130	14
90	132	13
91	133	11
92	134	10
93	135	8
94	136	7
95	137	5
96	139	4
97	140	2
98	141	1
99	143	0
